2025-08-19 14:22:25 WARNING  API | ❌ HTTP异常: 500 - 获取市场状态失败: 'datetime.datetime' object has no attribute 'value'
2025-08-19 14:22:26 WARNING  API | ❌ HTTP异常: 500 - 获取市场状态失败: 'datetime.datetime' object has no attribute 'value'
2025-08-19 14:22:27 WARNING  API | ❌ HTTP异常: 500 - 获取市场状态失败: 'datetime.datetime' object has no attribute 'value'
2025-08-19 14:23:53 WARNING  apscheduler.scheduler | Execution of job "TickerScheduler._wrapped_job_function.<locals>.wrapped_func (trigger: interval[0:00:01.500000], next run at: 2025-08-19 14:23:38 CST)" skipped: maximum number of running instances reached (1)
2025-08-19 14:24:02 WARNING  TickerScheduler | ⚠️ 任务 wen_cai_data_update_realtime 执行时间较长: 25.71秒
2025-08-19 14:24:02 WARNING  apscheduler.scheduler | Execution of job "TickerScheduler._wrapped_job_function.<locals>.wrapped_func (trigger: interval[0:00:10], next run at: 2025-08-19 14:23:59 CST)" skipped: maximum number of running instances reached (1)
2025-08-19 14:24:04 WARNING  apscheduler.scheduler | Execution of job "TickerScheduler._wrapped_job_function.<locals>.wrapped_func (trigger: interval[0:00:01.500000], next run at: 2025-08-19 14:24:03 CST)" skipped: maximum number of running instances reached (1)
2025-08-19 14:24:04 WARNING  wen_cai_source | ⚠️ K线数据更新耗时较长: 11.08秒
2025-08-19 14:24:04 WARNING  TickerScheduler | ⚠️ 任务 wen_cai_data_update_kline 执行时间较长: 11.08秒
2025-08-19 14:24:08 WARNING  apscheduler.scheduler | Execution of job "TickerScheduler._wrapped_job_function.<locals>.wrapped_func (trigger: interval[0:00:01.500000], next run at: 2025-08-19 14:24:06 CST)" skipped: maximum number of running instances reached (1)
2025-08-19 14:24:46 WARNING  API | ❌ HTTP异常: 500 - 获取市场状态失败: 'datetime.datetime' object has no attribute 'value'
2025-08-19 14:25:07 WARNING  API | ❌ HTTP异常: 500 - 获取市场状态失败: 'datetime.datetime' object has no attribute 'value'
2025-08-19 14:25:09 WARNING  API | ❌ HTTP异常: 500 - 获取市场状态失败: 'datetime.datetime' object has no attribute 'value'
2025-08-19 14:25:11 WARNING  API | ❌ HTTP异常: 500 - 获取市场状态失败: 'datetime.datetime' object has no attribute 'value'
2025-08-19 14:25:12 WARNING  API | ❌ HTTP异常: 500 - 获取市场状态失败: 'datetime.datetime' object has no attribute 'value'
2025-08-19 14:25:27 WARNING  apscheduler.scheduler | Execution of job "TickerScheduler._wrapped_job_function.<locals>.wrapped_func (trigger: interval[0:00:01.500000], next run at: 2025-08-19 14:25:16 CST)" skipped: maximum number of running instances reached (1)
2025-08-19 14:25:27 WARNING  TickerScheduler | ⚠️ 任务 wen_cai_data_update_realtime 执行时间较长: 11.85秒
2025-08-19 14:27:01 WARNING  apscheduler.scheduler | Execution of job "TickerScheduler._wrapped_job_function.<locals>.wrapped_func (trigger: interval[0:00:01.500000], next run at: 2025-08-19 14:26:31 CST)" skipped: maximum number of running instances reached (1)
2025-08-19 14:27:08 WARNING  apscheduler.scheduler | Execution of job "TickerScheduler._wrapped_job_function.<locals>.wrapped_func (trigger: interval[0:00:01.500000], next run at: 2025-08-19 14:27:06 CST)" skipped: maximum number of running instances reached (1)
2025-08-19 14:27:08 WARNING  apscheduler.scheduler | Execution of job "TickerScheduler._wrapped_job_function.<locals>.wrapped_func (trigger: interval[0:00:01.500000], next run at: 2025-08-19 14:27:08 CST)" skipped: maximum number of running instances reached (1)
2025-08-19 14:29:52 WARNING  API | ❌ HTTP异常: 500 - 获取市场状态失败: 'datetime.datetime' object has no attribute 'value'
2025-08-19 14:30:03 WARNING  API | ❌ HTTP异常: 500 - 获取市场状态失败: 'datetime.datetime' object has no attribute 'value'
2025-08-19 14:31:24 WARNING  API | ❌ HTTP异常: 500 - 获取市场状态失败: 'datetime.datetime' object has no attribute 'value'
